screen_id,record_id,source_group_id,source,source_object_id,source_record_ids,title,object_type,period,period_group,date,date_begin,date_end,culture,country,material,surface_type,dimensions,panel_count_guess,panel_count_manual,museum,accession_no,license,license_class,source_url,dataset_role,needs_manual_review,include_core,candidate_score,image_count,notes
S022,COM_GROUP_0ad49921d60a,COM_GROUP_0ad49921d60a,Wikimedia Commons,139659888,COM_139659888,"Cina, paravento, xviii-xix sec. ca.jpg",,,unknown_review,,,,,,,unknown,,,,,,CC BY 3.0,cc_by,"https://commons.wikimedia.org/wiki/File:Cina,_paravento,_xviii-xix_sec._ca.jpg",auxiliary_candidate,yes,,,1,Auto-grouped Commons object; Ming/Qing date not explicit
S026,COM_GROUP_1db00604a16d,COM_GROUP_1db00604a16d,Wikimedia Commons,155832624,COM_155832624,Interior of the Never-Resting Bodhisattva Grand Hall-10.2024-11-24.jpg,,,unknown_review,,,,,,,unknown,,,,,,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Interior_of_the_Never-Resting_Bodhisattva_Grand_Hall-10.2024-11-24.jpg,auxiliary_candidate,yes,,,1,Auto-grouped Commons object; Ming/Qing date not explicit
S023,COM_GROUP_5183d41bece2,COM_GROUP_5183d41bece2,Wikimedia Commons,84375343,COM_84375343,马降龙 03 - 屏风.jpg,,,traditional_auxiliary,,,,,,,unknown,,,,,,CC0,public_domain,https://commons.wikimedia.org/wiki/File:%E9%A9%AC%E9%99%8D%E9%BE%99_03_-_%E5%B1%8F%E9%A3%8E.jpg,auxiliary_candidate,yes,,,1,Auto-grouped Commons object; Ming/Qing date not explicit
S020,COM_GROUP_53ebac964941,COM_GROUP_53ebac964941,Wikimedia Commons,51350616,COM_51350616,"Cina, paravento bianco e blu in porcellana, xviii secolo.jpg",,,unknown_review,,,,,,,unknown,,,,,,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_bianco_e_blu_in_porcellana,_xviii_secolo.jpg",auxiliary_candidate,yes,,,1,Auto-grouped Commons object
S013,COM_GROUP_5b64483b2c79,COM_GROUP_5b64483b2c79,Wikimedia Commons,77442315,COM_77442315,描金彩绘高浮雕海水云龙纹硬木屏风07616.jpg,,,traditional_auxiliary,,,,,,,painting,,,,,,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:%E6%8F%8F%E9%87%91%E5%BD%A9%E7%BB%98%E9%AB%98%E6%B5%AE%E9%9B%95%E6%B5%B7%E6%B0%B4%E4%BA%91%E9%BE%99%E7%BA%B9%E7%A1%AC%E6%9C%A8%E5%B1%8F%E9%A3%8E07616.jpg,auxiliary_candidate,yes,,,1,Auto-grouped Commons object
S027,COM_GROUP_7af89d3688b5,COM_GROUP_7af89d3688b5,Wikimedia Commons,104576131,COM_104576131; COM_104576136,Folding screen with pines and cranes - MA 2137 - crane detail 02.jpg,,,traditional_auxiliary,,,,,,,unknown,,,,,,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_02.jpg,auxiliary_candidate,yes,,,2,Auto-grouped Commons object; Ming/Qing date not explicit
S014,COM_GROUP_7ede36014770,COM_GROUP_7ede36014770,Wikimedia Commons,16061968,COM_16061968,"Landscape with Pavilion Screens by Yuan Jiang and Wang Yun, 1720 (2).jpg",,,traditional_auxiliary,,,,,,,unknown,,,,,,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun,_1720_(2).jpg",auxiliary_candidate,yes,,,1,Auto-grouped Commons object
S015,COM_GROUP_8bf38d8c58bd,COM_GROUP_8bf38d8c58bd,Wikimedia Commons,16061967,COM_16061967,"Landscape with Pavilion Screens by Yuan Jiang and Wang Yun, 1720 (1).jpg",,,traditional_auxiliary,,,,,,,unknown,,,,,,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun,_1720_(1).jpg",auxiliary_candidate,yes,,,1,Auto-grouped Commons object
S024,COM_GROUP_90d868ac4016,COM_GROUP_90d868ac4016,Wikimedia Commons,11931298,COM_11931298,Paravent - Musee Calouste Gulbenkian.jpg,,,unknown_review,,,,,,,unknown,,,,,,CC BY-SA 3.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Paravent_-_Musee_Calouste_Gulbenkian.jpg,auxiliary_candidate,yes,,,1,Auto-grouped Commons object; Ming/Qing date not explicit
S008,COM_GROUP_a95dedfc224c,COM_GROUP_a95dedfc224c,Wikimedia Commons,77442056,COM_77442056,黄花梨嵌刻灰彩绘楼台人物纹屏心十二扇屏风07608.jpg,,,traditional_core,,,,,,,painting,,,,,,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:%E9%BB%84%E8%8A%B1%E6%A2%A8%E5%B5%8C%E5%88%BB%E7%81%B0%E5%BD%A9%E7%BB%98%E6%A5%BC%E5%8F%B0%E4%BA%BA%E7%89%A9%E7%BA%B9%E5%B1%8F%E5%BF%83%E5%8D%81%E4%BA%8C%E6%89%87%E5%B1%8F%E9%A3%8E07608.jpg,core_candidate,no,yes,,1,Auto-grouped Commons object
S016,COM_GROUP_c81a2cc7764c,COM_GROUP_c81a2cc7764c,Wikimedia Commons,51350617,COM_51350617; COM_51350620; COM_51350621; COM_51350622; COM_51350625,"Cina, paravento in stile coromandel, lacca, madreperla, tartaruga e oro, 1750-1800 ca. 00.jpg",,,traditional_auxiliary,,,,,,,lacquer,,,,,,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_in_stile_coromandel,_lacca,_madreperla,_tartaruga_e_oro,_1750-1800_ca._00.jpg",auxiliary_candidate,yes,,,5,Auto-grouped Commons object
S017,COM_GROUP_cbeccaa1af19,COM_GROUP_cbeccaa1af19,Wikimedia Commons,156888530,COM_156888530,"Folding screen, c. 1650, Coromandel lacquer panels, brass hinges - Ham House - London, UK - DSC07886.jpg",,,traditional_auxiliary,,,,,,,lacquer,,,,,,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Folding_screen,_c._1650,_Coromandel_lacquer_panels,_brass_hinges_-_Ham_House_-_London,_UK_-_DSC07886.jpg",auxiliary_candidate,yes,,,1,Auto-grouped Commons object; Ming/Qing date not explicit
S010,COM_GROUP_d6b4e0cba8c4,COM_GROUP_d6b4e0cba8c4,Wikimedia Commons,77588447,COM_77588447,"Standing screen with boys at play, China, probably Suzhou, Qianlong period, 1736-1795 AD, carved lacquer on wood core - Peabody Essex Museum - DSC07968.jpg",,,traditional_auxiliary,,,,,,,lacquer,,,,,,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Standing_screen_with_boys_at_play,_China,_probably_Suzhou,_Qianlong_period,_1736-1795_AD,_carved_lacquer_on_wood_core_-_Peabody_Essex_Museum_-_DSC07968.jpg",auxiliary_candidate,yes,,,1,Auto-grouped Commons object
S028,COM_GROUP_e91c5ec5dcea,COM_GROUP_e91c5ec5dcea,Wikimedia Commons,155828354,COM_155828354,崇德園承玄堂 03. 20241124.jpg,,,unknown_review,,,,,,,unknown,,,,,,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:%E5%B4%87%E5%BE%B7%E5%9C%92%E6%89%BF%E7%8E%84%E5%A0%82_03._20241124.jpg,auxiliary_candidate,yes,,,1,Auto-grouped Commons object; Ming/Qing date not explicit
S021,COM_GROUP_eb86f02e5b60,COM_GROUP_eb86f02e5b60,Wikimedia Commons,34212551,COM_34212551,Hofmobiliendepot - Chinesischer Paravent.jpg,,,unknown_review,,,,,,,unknown,,,,,,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Hofmobiliendepot_-_Chinesischer_Paravent.jpg,auxiliary_candidate,yes,,,1,Auto-grouped Commons object
S011,COM_GROUP_f1c18d53e278,COM_GROUP_f1c18d53e278,Wikimedia Commons,185491502,COM_185491502,"Small coromandel screen, China, Qing dynasty, 1700-1800 AD, lacquered and inlaid wood, black with colors, Asian Art Museum SF - DSC08683.jpg",,,traditional_auxiliary,,,,,,,lacquer,,,,,,CC0,public_domain,"https://commons.wikimedia.org/wiki/File:Small_coromandel_screen,_China,_Qing_dynasty,_1700-1800_AD,_lacquered_and_inlaid_wood,_black_with_colors,_Asian_Art_Museum_SF_-_DSC08683.jpg",auxiliary_candidate,yes,,,1,Auto-grouped Commons object
S025,COM_OBJECT_ELTHAM_COURT_COROMANDEL,COM_OBJECT_ELTHAM_COURT_COROMANDEL,Wikimedia Commons,173045322,COM_173045322; COM_173045359; COM_173045387,"1212906 II Star ELTHAM COURT (ELTHAM PALACE), COURT YARD, Chinese incised lacquer Coromandel screen Greenwich London 20250610 0001.jpg",,,traditional_auxiliary,,,,,,,lacquer,,,,,,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:1212906_II_Star_ELTHAM_COURT_(ELTHAM_PALACE),_COURT_YARD,_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0001.jpg",auxiliary_candidate,yes,,,3,Auto-grouped Commons object; Ming/Qing date not explicit
S018,COM_OBJECT_NANTES_COROMANDEL,COM_OBJECT_NANTES_COROMANDEL,Wikimedia Commons,114357713,COM_114357713; COM_114357714; COM_196561140; COM_196561141; COM_24666533,"Musée d'histoire de Nantes - 211 - Paravent, laque de Coromandel.jpg",,,traditional_auxiliary,,,,,,,lacquer,,,,,,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_d%27histoire_de_Nantes_-_211_-_Paravent,_laque_de_Coromandel.jpg",auxiliary_candidate,yes,,,5,Auto-grouped Commons object; Ming/Qing date not explicit
S019,COM_OBJECT_VILLA_EPHRUSSI_COROMANDEL,COM_OBJECT_VILLA_EPHRUSSI_COROMANDEL,Wikimedia Commons,15254943,COM_15254943; COM_15254977,Miscellany in the Villa Ephrussi de Rothschild - DSC04663.JPG,,,unknown_review,,,,,,,unknown,,,,,,Public domain,public_domain,https://commons.wikimedia.org/wiki/File:Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_DSC04663.JPG,auxiliary_candidate,yes,,,2,Auto-grouped Commons object; Ming/Qing date not explicit
S007,COM_OBJECT_WOMEN_IN_PALACE_12_PANEL,COM_OBJECT_WOMEN_IN_PALACE_12_PANEL,Wikimedia Commons,58784057,COM_58784057; COM_58784061; COM_58784069; COM_58784091; COM_58784100; COM_58784107; COM_58784109,清康熙 黑漆嵌螺鈿仕女圖屏風-Women in a Palace MET DP141220.jpg,,,traditional_core,,,,,,,lacquer,,,,,,CC0,public_domain,https://commons.wikimedia.org/wiki/File:%E6%B8%85%E5%BA%B7%E7%86%99_%E9%BB%91%E6%BC%86%E5%B5%8C%E8%9E%BA%E9%88%BF%E4%BB%95%E5%A5%B3%E5%9C%96%E5%B1%8F%E9%A2%A8-Women_in_a_Palace_MET_DP141220.jpg,core_candidate,no,yes,,7,Auto-grouped Commons object
