image_id,screen_id,record_id,source_group_id,source,source_object_id,title,image_type,license,license_class,source_url,image_url,thumbnail_url,local_file,sha256,bytes,pixel_width,pixel_height,mime,dataset_role,needs_manual_review,selected_for_training,quality_manual,notes
MET_64084_full,S004,MET_64084_full,MET_64084,The Met,64084,Screen,full,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64084,https://images.metmuseum.org/CRDImages/as/original/62_98_1_R.JPG,,raw\S004\full.jpg,f2008dfb0ab5d1b548c2fd3f9c25649cc1c7a198a0cbffd3748f4f94d1ec0484,118760,,,,core_candidate,no,,,
MET_64085_additional_01,S002,MET_64085_additional_01,MET_64085,The Met,64085,Screen,additional_01,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64085,https://images.metmuseum.org/CRDImages/as/original/1970_103a-e_B_sf.jpg,,raw\S002\additional_01.jpg,ba7e01d6d7434034d8e12260505b2b66bba3cf1cf1b943b858958f6d7e21a295,2077015,,,,core_candidate,no,,,
MET_64085_additional_02,S002,MET_64085_additional_02,MET_64085,The Met,64085,Screen,additional_02,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64085,https://images.metmuseum.org/CRDImages/as/original/1970_103a-e_B_d3_sf.jpg,,raw\S002\additional_02.jpg,d7ea4b418bef73c7a1bd3f87c5846bfff633265506303dc3f87e566b5e49ae5b,2135987,,,,core_candidate,no,,,
MET_64085_additional_03,S002,MET_64085_additional_03,MET_64085,The Met,64085,Screen,additional_03,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64085,https://images.metmuseum.org/CRDImages/as/original/1970_103a-e_B_d5_sf.jpg,,raw\S002\additional_03.jpg,80232a03bf1143fe4d85b09a7f1bc18fd28aa2293454f02e556d991731d0f92f,2053812,,,,core_candidate,no,,,
MET_64085_additional_04,S002,MET_64085_additional_04,MET_64085,The Met,64085,Screen,additional_04,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64085,https://images.metmuseum.org/CRDImages/as/original/1970_103a-e_B_d4_sf.jpg,,raw\S002\additional_04.jpg,a0c587dfca147b4f124af1e618c2eeff1b82064f2f3c0fd1ba30c9d3d180c087,1786594,,,,core_candidate,no,,,
MET_64085_full,S002,MET_64085_full,MET_64085,The Met,64085,Screen,full,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64085,https://images.metmuseum.org/CRDImages/as/original/1970_103a-e_F_sf.jpg,,raw\S002\full.jpg,a428c6033fd15eb931567dead78427fa04cd303cee2bc69418b3d02517866dbb,2253976,,,,core_candidate,no,,,
MET_64086_additional_01,S006,MET_64086_additional_01,MET_64086,The Met,64086,Folding screen with birthday celebration for General Guo Ziyi,additional_01,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64086,https://images.metmuseum.org/CRDImages/as/original/DP211894.jpg,,raw\S006\additional_01_01.jpg,9bdf2ceed08753db69c82abdee84369340e68caf97842f1e36839a746f66d2c6,2130721,,,,auxiliary_candidate,yes,,,panel count not stated
MET_64086_additional_02,S006,MET_64086_additional_02,MET_64086,The Met,64086,Folding screen with birthday celebration for General Guo Ziyi,additional_02,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64086,https://images.metmuseum.org/CRDImages/as/original/DP211903.jpg,,raw\S006\additional_02_01.jpg,177febf200e84fc591fef31c4cb09d6c53e0424dcb7f6c20e658eca632050e56,4242822,,,,auxiliary_candidate,yes,,,panel count not stated
MET_64086_full,S006,MET_64086_full,MET_64086,The Met,64086,Folding screen with birthday celebration for General Guo Ziyi,full,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/64086,https://images.metmuseum.org/CRDImages/as/original/DP211786.jpg,,raw\S006\full_01.jpg,0480ea3f5ef68300066e04ab8a37995d296d64ebf837752fb4408ef0edc3afaa,3593535,,,,auxiliary_candidate,yes,,,panel count not stated
MET_784285_additional_01,S012,MET_784285_additional_01,MET_784285,The Met,784285,"Crane, pine, and rock",additional_01,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/784285,https://images.metmuseum.org/CRDImages/as/original/DP-16225-002.jpg,,raw\S012\additional_01.jpg,b25ccd48b457c1bdc58acff0996afd3a7514089bc59a653cbe352882f99f1710,2993296,,,,auxiliary_candidate,yes,,,panel count not stated
MET_784285_additional_02,S012,MET_784285_additional_02,MET_784285,The Met,784285,"Crane, pine, and rock",additional_02,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/784285,https://images.metmuseum.org/CRDImages/as/original/DP-16225-001.jpg,,raw\S012\additional_02.jpg,96d7f973051c00989a903593a1165ddea1212f39567c861c35767f9d3a878da8,2869221,,,,auxiliary_candidate,yes,,,panel count not stated
MET_784285_full,S012,MET_784285_full,MET_784285,The Met,784285,"Crane, pine, and rock",full,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/784285,https://images.metmuseum.org/CRDImages/as/original/DP-16225-003.jpg,,raw\S012\full.jpg,dafc33752177f1704ac8a8b0357177ada91270e55cf4d5ed6dea70b869419fc0,4695962,,,,auxiliary_candidate,yes,,,panel count not stated
MET_911983_additional_01,S003,MET_911983_additional_01,MET_911983,The Met,911983,Complete Geographical Map of the Everlasting Unified Qing Empire,additional_01,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/911983,https://images.metmuseum.org/CRDImages/as/original/DP-41331-002.jpg,,raw\S003\additional_01.jpg,31a4f99e3e5f2d23d648fc18e3123c2e06d766fed25605a4d5fefe913a32b92e,4235956,,,,core_candidate,no,,,
MET_911983_additional_02,S003,MET_911983_additional_02,MET_911983,The Met,911983,Complete Geographical Map of the Everlasting Unified Qing Empire,additional_02,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/911983,https://images.metmuseum.org/CRDImages/as/original/DP-41331-003.jpg,,raw\S003\additional_02.jpg,5c8358a8377e9357323aa6fbf9dfe6d2ab5f5b8bb10ad8de7bf476f99ad62709,5467213,,,,core_candidate,no,,,
MET_911983_additional_03,S003,MET_911983_additional_03,MET_911983,The Met,911983,Complete Geographical Map of the Everlasting Unified Qing Empire,additional_03,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/911983,https://images.metmuseum.org/CRDImages/as/original/DP-41331-004.jpg,,raw\S003\additional_03.jpg,51dba89219818080aabd84ac5c84e174bffeff896fa6d1e977b204faa44d3c82,5288743,,,,core_candidate,no,,,
MET_911983_additional_04,S003,MET_911983_additional_04,MET_911983,The Met,911983,Complete Geographical Map of the Everlasting Unified Qing Empire,additional_04,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/911983,https://images.metmuseum.org/CRDImages/as/original/DP-41331-005.jpg,,raw\S003\additional_04.jpg,2010a119b465eb2ae1d43a04065e7d811cd13e7b8673d0a13deb32042d281bb4,4254171,,,,core_candidate,no,,,
MET_911983_full,S003,MET_911983_full,MET_911983,The Met,911983,Complete Geographical Map of the Everlasting Unified Qing Empire,full,Public Domain,public_domain,https://www.metmuseum.org/art/collection/search/911983,https://images.metmuseum.org/CRDImages/as/original/DP-41331-001.jpg,,raw\S003\full_01.jpg,df2b5911d2a68c750a27fe40760cf1317fd5519ead6ffe184ed80bc982f60b17,3751894,,,,core_candidate,no,,,
COM_104576131,S027,COM_104576131,COM_GROUP_7af89d3688b5,Wikimedia Commons,104576131,Folding screen with pines and cranes - MA 2137 - crane detail 02.jpg,scaled_800px,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_02.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_02.jpg/960px-Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S027\detail.jpg,9d6905bc5d3cdad8186fff14078f384578c5f0734588feed47144c5cfe7617ce,230945,3888,5184,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_104576136,S027,COM_104576136,COM_GROUP_7af89d3688b5,Wikimedia Commons,104576136,Folding screen with pines and cranes - MA 2137 - crane detail 01.jpg,scaled_800px,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_01.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_01.jpg/960px-Folding_screen_with_pines_and_cranes_-_MA_2137_-_crane_detail_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S027\detail_01.jpg,d9f9b9dfc18486abd7d555408492bb1684602ec1bed96d654d2e9c9ec7b718bc,261525,3888,5184,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_114357713,S018,COM_114357713,COM_OBJECT_NANTES_COROMANDEL,Wikimedia Commons,114357713,"Musée d'histoire de Nantes - 211 - Paravent, laque de Coromandel.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_d%27histoire_de_Nantes_-_211_-_Paravent,_laque_de_Coromandel.jpg",https://upload.wikimedia.org/wikipedia/commons/b/bc/Mus%C3%A9e_d%27histoire_de_Nantes_-_211_-_Paravent%2C_laque_de_Coromandel.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Mus%C3%A9e_d%27histoire_de_Nantes_-_211_-_Paravent%2C_laque_de_Coromandel.jpg/960px-Mus%C3%A9e_d%27histoire_de_Nantes_-_211_-_Paravent%2C_laque_de_Coromandel.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S018\full.jpg,3dc4e9e6f578d66f61e3f660e23dbe97b6c985d63ea0a42d381a324c68381d30,222423,4272,2848,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_114357714,S018,COM_114357714,COM_OBJECT_NANTES_COROMANDEL,Wikimedia Commons,114357714,"Musée d'histoire de Nantes - 212 - Paravent, laque de Coromandel.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_d%27histoire_de_Nantes_-_212_-_Paravent,_laque_de_Coromandel.jpg",https://upload.wikimedia.org/wikipedia/commons/a/aa/Mus%C3%A9e_d%27histoire_de_Nantes_-_212_-_Paravent%2C_laque_de_Coromandel.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Mus%C3%A9e_d%27histoire_de_Nantes_-_212_-_Paravent%2C_laque_de_Coromandel.jpg/960px-Mus%C3%A9e_d%27histoire_de_Nantes_-_212_-_Paravent%2C_laque_de_Coromandel.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S018\additional.jpg,f848069d2f02cddabbf621713e7b6e1c0ae4472774b4370a1815fc54398e72cd,217998,4272,2848,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_11931298,S024,COM_11931298,COM_GROUP_90d868ac4016,Wikimedia Commons,11931298,Paravent - Musee Calouste Gulbenkian.jpg,scaled_800px,CC BY-SA 3.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Paravent_-_Musee_Calouste_Gulbenkian.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Paravent_-_Musee_Calouste_Gulbenkian.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Paravent_-_Musee_Calouste_Gulbenkian.jpg/960px-Paravent_-_Musee_Calouste_Gulbenkian.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S024\full.jpg,7409aa92bb1ccfbb771f47cf34b78c4930689611ea07f4e68768c296f208f079,237528,2165,1887,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_139659888,S022,COM_139659888,COM_GROUP_0ad49921d60a,Wikimedia Commons,139659888,"Cina, paravento, xviii-xix sec. ca.jpg",scaled_800px,CC BY 3.0,cc_by,"https://commons.wikimedia.org/wiki/File:Cina,_paravento,_xviii-xix_sec._ca.jpg",https://upload.wikimedia.org/wikipedia/commons/5/5e/Cina%2C_paravento%2C_xviii-xix_sec._ca.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Cina%2C_paravento%2C_xviii-xix_sec._ca.jpg/960px-Cina%2C_paravento%2C_xviii-xix_sec._ca.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S022\full.jpg,78dafd93ccdbd60da84e4765281b2614b7d3b1e411cc935bcb53dc09953fae33,273114,3020,1988,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_15254943,S019,COM_15254943,COM_OBJECT_VILLA_EPHRUSSI_COROMANDEL,Wikimedia Commons,15254943,Miscellany in the Villa Ephrussi de Rothschild - DSC04663.JPG,scaled_800px,Public domain,public_domain,https://commons.wikimedia.org/wiki/File:Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_DSC04663.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b3/Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_DSC04663.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_DSC04663.JPG/960px-Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_DSC04663.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S019\full.jpg,a2fde67bbb5105f863f06d71c0a9dbd841f08ec59cc67ed5f30916c37db30289,206549,4320,3240,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_15254977,S019,COM_15254977,COM_OBJECT_VILLA_EPHRUSSI_COROMANDEL,Wikimedia Commons,15254977,Miscellany in the Villa Ephrussi de Rothschild - screen.jpg,scaled_800px,Public domain,public_domain,https://commons.wikimedia.org/wiki/File:Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_screen.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_screen.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_screen.jpg/960px-Miscellany_in_the_Villa_Ephrussi_de_Rothschild_-_screen.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S019\additional.jpg,e420f04b8f324d99fe1675f9c7d0c6ea1bdd81abe17f20fb243fb0f5701eda37,258979,7461,4999,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_155828354,S028,COM_155828354,COM_GROUP_e91c5ec5dcea,Wikimedia Commons,155828354,崇德園承玄堂 03. 20241124.jpg,scaled_800px,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:%E5%B4%87%E5%BE%B7%E5%9C%92%E6%89%BF%E7%8E%84%E5%A0%82_03._20241124.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/%E5%B4%87%E5%BE%B7%E5%9C%92%E6%89%BF%E7%8E%84%E5%A0%82_03._20241124.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/%E5%B4%87%E5%BE%B7%E5%9C%92%E6%89%BF%E7%8E%84%E5%A0%82_03._20241124.jpg/960px-%E5%B4%87%E5%BE%B7%E5%9C%92%E6%89%BF%E7%8E%84%E5%A0%82_03._20241124.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S028\full.jpg,39c9612bba3455df4430a3323822a15a0a79732fd2680d09841ac3024488691c,337114,2782,3385,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_155832624,S026,COM_155832624,COM_GROUP_1db00604a16d,Wikimedia Commons,155832624,Interior of the Never-Resting Bodhisattva Grand Hall-10.2024-11-24.jpg,scaled_800px,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Interior_of_the_Never-Resting_Bodhisattva_Grand_Hall-10.2024-11-24.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Interior_of_the_Never-Resting_Bodhisattva_Grand_Hall-10.2024-11-24.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Interior_of_the_Never-Resting_Bodhisattva_Grand_Hall-10.2024-11-24.jpg/960px-Interior_of_the_Never-Resting_Bodhisattva_Grand_Hall-10.2024-11-24.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S026\full.jpg,f3db23b460db5a8334e77d1ca7604f54f93d64eb88f74133e45435a51e8e6cf6,237229,4032,2978,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_156888530,S017,COM_156888530,COM_GROUP_cbeccaa1af19,Wikimedia Commons,156888530,"Folding screen, c. 1650, Coromandel lacquer panels, brass hinges - Ham House - London, UK - DSC07886.jpg",scaled_800px,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Folding_screen,_c._1650,_Coromandel_lacquer_panels,_brass_hinges_-_Ham_House_-_London,_UK_-_DSC07886.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c2/Folding_screen%2C_c._1650%2C_Coromandel_lacquer_panels%2C_brass_hinges_-_Ham_House_-_London%2C_UK_-_DSC07886.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Folding_screen%2C_c._1650%2C_Coromandel_lacquer_panels%2C_brass_hinges_-_Ham_House_-_London%2C_UK_-_DSC07886.jpg/960px-Folding_screen%2C_c._1650%2C_Coromandel_lacquer_panels%2C_brass_hinges_-_Ham_House_-_London%2C_UK_-_DSC07886.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S017\full.jpg,11ff1b7053f52904ac42b41928d7a2e5bc743023fb2a4233d337f97919dd02e1,268049,3491,3528,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_16061967,S015,COM_16061967,COM_GROUP_8bf38d8c58bd,Wikimedia Commons,16061967,"Landscape with Pavilion Screens by Yuan Jiang and Wang Yun, 1720 (1).jpg",scaled_800px,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun,_1720_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/4/44/Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun%2C_1720_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/4/44/Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun%2C_1720_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,raw\S015\full.jpg,bab722fe89ecc7d4973a2a4e3342d0baa400ec03baae935f230eb66a8229e79b,70482,509,261,image/jpeg,auxiliary_candidate,yes,,,
COM_16061968,S014,COM_16061968,COM_GROUP_7ede36014770,Wikimedia Commons,16061968,"Landscape with Pavilion Screens by Yuan Jiang and Wang Yun, 1720 (2).jpg",scaled_800px,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun,_1720_(2).jpg",https://upload.wikimedia.org/wikipedia/commons/3/33/Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun%2C_1720_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/3/33/Landscape_with_Pavilion_Screens_by_Yuan_Jiang_and_Wang_Yun%2C_1720_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,raw\S014\full.jpg,d4c02ca3c34852ffdff668443473182ad93d91fd02ab385d3fd80ca0b620a00f,76387,507,259,image/jpeg,auxiliary_candidate,yes,,,
